iter	Passed	Remaining
819	50685	11126
820	50752	11065
821	50828	11006
822	50887	10944
823	50952	10883
824	51009	10820
825	51064	10756
826	51120	10693
827	51175	10630
828	51238	10569
829	51301	10507
830	51358	10444
831	51416	10382
832	51479	10320
833	51542	10259
834	51599	10196
835	51656	10133
836	51716	10071
837	51784	10010
838	51856	9951
839	51930	9891
840	51992	9829
841	52045	9766
842	52110	9705
843	52173	9643
844	52250	9584
845	52325	9525
846	52395	9464
847	52461	9403
848	52537	9344
849	52608	9283
850	52671	9222
851	52746	9162
852	52811	9101
853	52875	9039
854	52939	8978
855	53004	8916
856	53060	8853
857	53116	8790
858	53176	8728
859	53234	8666
860	53298	8604
861	53369	8544
862	53432	8482
863	53495	8420
864	53557	8358
865	53617	8296
866	53683	8235
867	53747	8173
868	53804	8110
869	53868	8049
870	53936	7988
871	53995	7925
872	54056	7863
873	54115	7801
874	54181	7740
875	54243	7678
876	54316	7617
877	54379	7556
878	54452	7495
879	54521	7434
880	54583	7372
881	54651	7311
882	54714	7249
883	54771	7187
884	54831	7124
885	54894	7063
886	54953	7000
887	55013	6938
888	55071	6876
889	55139	6814
890	55197	6752
891	55259	6690
892	55317	6628
893	55376	6565
894	55439	6504
895	55494	6441
896	55556	6379
897	55625	6318
898	55682	6255
899	55747	6194
900	55808	6132
901	55869	6070
902	55930	6008
903	55996	5946
904	56059	5884
905	56121	5822
906	56178	5760
907	56242	5698
908	56307	5636
909	56367	5574
910	56428	5512
911	56495	5451
912	56553	5389
913	56613	5326
914	56677	5265
915	56738	5203
916	56810	5142
917	56868	5079
918	56931	5017
919	56993	4955
920	57050	4893
921	57113	4831
922	57175	4769
923	57235	4707
924	57299	4645
925	57358	4583
926	57417	4521
927	57474	4459
928	57538	4397
929	57594	4335
930	57657	4273
931	57718	4211
932	57781	4149
933	57846	4087
934	57916	4026
935	57980	3964
936	58040	3902
937	58096	3840
938	58155	3777
939	58227	3716
940	58285	3654
941	58356	3593
942	58419	3531
943	58474	3468
944	58533	3406
945	58589	3344
946	58644	3282
947	58704	3220
948	58762	3157
949	58822	3095
950	58885	3034
951	58946	2972
952	59007	2910
953	59073	2848
954	59131	2786
955	59204	2724
956	59260	2662
957	59319	2600
958	59381	2538
959	59440	2476
960	59501	2414
961	59559	2352
962	59625	2290
963	59685	2228
964	59750	2167
965	59804	2104
966	59864	2042
967	59924	1980
968	59978	1918
969	60039	1856
970	60093	1794
971	60152	1732
972	60226	1671
973	60288	1609
974	60345	1547
975	60403	1485
976	60466	1423
977	60531	1361
978	60588	1299
979	60654	1237
980	60718	1175
981	60780	1114
982	60844	1052
983	60907	990
984	60970	928
985	61036	866
986	61096	804
987	61155	742
988	61225	680
989	61292	619
990	61348	557
991	61412	495
992	61481	433
993	61542	371
994	61604	309
995	61663	247
996	61729	185
997	61794	123
998	61854	61
999	61918	0
